id,placerelation,place
14797,30,131
14798,30,162
14795,30,180
14794,30,197
14800,31,195
14803,32,77
14806,32,82
14802,32,122
14805,32,125
14804,32,131
14801,32,198
14810,33,125
14808,33,141
14811,33,161
14812,33,162
14809,33,197
14807,33,198
14815,34,58
14813,34,69
14814,34,174
14818,35,72
14817,35,86
14819,35,171
14816,35,174
14822,36,57
14821,36,76
14825,36,122
14823,36,131
14824,36,183
14826,36,197
14820,36,215
14827,36,222
14829,37,57
14828,37,82
14832,37,96
14830,37,125
14831,37,197
14834,38,163
14833,38,171
14838,39,70
14839,39,78
14835,39,146
14837,39,191
14836,39,196
14840,40,159
14841,40,176
14843,40,179
14842,40,190
14844,41,159
14846,42,87
14845,42,89
14847,42,192
14848,43,105
14849,44,130
14850,44,174
14851,45,116
14853,45,141
14852,45,198
14854,46,101
14855,46,106
14857,47,96
14856,47,125
14860,48,84
14858,48,89
14859,48,198
14862,49,143
14861,49,182
14868,50,84
14867,50,87
14865,50,122
14866,50,129
14864,50,192
14863,50,198
14870,51,165
14869,51,182
14871,51,205
14874,52,125
14872,52,131
14873,52,180
14877,53,59
14876,53,61
14875,53,182
14878,53,213
14881,54,64
14887,54,79
14885,54,81
14886,54,94
14879,54,144
14883,54,164
14884,54,176
14882,54,179
14880,54,206
14888,55,75
14889,55,211
14892,56,51
14891,56,74
14890,56,147
14893,56,213
14896,57,65
14895,57,106
14894,57,153
14897,57,185
14898,58,103
14901,58,140
14902,58,150
14900,58,187
14899,58,189
14903,59,102
14904,59,187
14906,60,72
14905,60,199
14907,61,83
14909,62,101
14908,62,163
14910,62,185
14915,63,108
14917,63,179
14916,63,181
14914,63,190
14913,63,191
14912,63,196
14911,63,216
14920,64,54
14921,64,63
14922,64,68
14923,64,80
14919,64,157
14924,64,160
14918,64,204
14926,65,148
14925,65,172
14930,66,54
14928,66,59
14931,66,61
14932,66,111
14933,66,169
14929,66,213
14927,66,214
14934,67,112
14935,67,123
14938,67,134
14936,67,186
14937,67,213
14939,68,194
14942,69,85
14941,69,123
14940,69,139
14944,70,94
