 U45, 11, 15, 32, 12, 16, 55, 9, 47, 43, 606, 44, 138, 38, 32, 30, 101, 97, 84, 107, 57, 90, 58, 43, 59, 397, 180, 82, 134, 15, 23, 13, 20, 26, 38, 14, 40, 47, 31, 21, 28, 29, 130, 454, 60, 107, 103, 29, 52, 54, 913, 94, 433, 137, 111, 29, 23, 16, 34, 91, 54, 48, 58, 213, 47, 108, 40, 174, 29, 56, 19, 19, 68, 47, 101, 289, 221, 12, 8, 20, 58, 177
 U47, 5383,, 197, 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8,,,,
 U48, 174, 124, 99, 50, 87, 157,,,,,,,, 96, 163,,,,,,,,,,,,,, 82, 48, 79, 102,, 104, 58, 672, 70, 66, 78,, 165,,,,,,,,,,,,,, 277, 428, 50,,,, 239,,,,,,, 116,, 138, 150,,,,,, 28, 23, 382, 105,
 U49,,, 13,, 27, 29, 9, 38, 54,,,,, 33, 24, 63,,,,,,, 119,,,,,,, 41, 11,,,, 27, 42, 60,, 37, 119,,,,,,,,,,,,,,, 43,, 42, 56,, 53, 38,,,,, 59,,,,, 31,, 69,,,, 6,,, 12,
 U50, 16,,, 13,,,,,,,,,,,,,,,,,,,,,,,,,,, 32,,,, 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8, 11, 21,,
 U51,,,, 26, 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9, 13,,,
 U53,,,,,,, 29,,,,,,,,,,,,,,,,,,,,,, 27,, 96,,,, 55,,,,,,,,,,,,,,,,,,,,,, 31,,,,,,,,,,,,,,,,,,,, 13, 13,,,
 U55, 78,,, 42,,,,,,,,,,,,,,,,,,,,,,,,,,, 111,,,, 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8, 36,,,
 U56, 273,,, 28, 52,,,,,,,,,,,,,,,,,,,,,,,, 25, 32, 55,,,, 88,,, 36,,,,,,,,,,,,,,,,,,, 47,,,,,,,,,,,,,,,,,,,, 15, 24, 112,,
 U58,,,,,, 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6, 42,,,
 U60,,, 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10, 17,,,
 U62, 24, 34, 47, 21, 25, 54, 17, 60, 112,,,,, 53, 106, 138,,,,,,,,,,,,, 48, 387, 15, 142, 142, 41, 53, 72, 102, 40, 32,, 64,,,,,,,,,,,,,, 146, 27, 51, 70, 226, 166, 64,,, 82,, 108, 64, 66,, 52, 47,, 291,,,, 26, 24, 74, 43,
 U64, 41,,, 61, 30,, 111,,,,,,,,,,,,,,,,,,,,,, 41,, 19,,,, 22,,, 41, 66,,,,,,,,,,,,,,,,, 50, 54,,,,,,,,,,,,,,,,,,,, 19, 10,,,
 U66, 66,,, 48, 109,, 154,,,,,,, 128,,,,,,,,,,,,,,, 42,, 80, 62,,, 351, 64,, 56, 94,,,,,,,,,,,,,,,,, 65, 44,,,,,,,,,,,,, 71,,,,,,, 9, 9, 117,,
 U69, 73, 177,, 41, 68,, 137,,,,,,,,,,,,,,,,,,,,,, 40,, 34,,,, 31,,, 86, 42,,,,,,,,,,,,,,,,,, 119,,,,,,,,,,,,,,,,,,,, 17, 14, 152,,
 U71, 72,,, 43,,,,,,,,,,,,,,,,,,,,,,,,,,, 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39,,,
 U72,, 104, 158,, 81, 84,, 510, 117,,,, 403, 267, 95, 512,,,,,,, 187,,,,,,, 279,, 42,, 140, 61, 62, 489, 280,, 301, 401, 98,,, 138,, 144, 1862,,,,,,, 144, 58,, 314, 204, 265, 741, 750,, 393,, 177, 251, 234, 389, 147, 177,, 1380, 290,,,,, 75, 315,
 U73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 93, 69,,, 43, 78,,,,,,,,,,,,,,,,,, 63,,,,,,,,,,,,,,,,,,,, 24, 42, 79,,
 U76, 27,,, 27, 76,, 24,,,,,,,,,,,,,,,,,,,,,, 36,, 27,,,, 52,,,, 22,,,,,,,,,,,,,,,,,, 63,,,,,,,,,,,,,,,,,,,, 9, 15,,,
 U78, 51, 138, 405, 123, 230, 126, 130,, 341,,,,, 178, 125,,,,,,,,,,,,,, 80, 45, 56, 195,, 146, 67, 101, 743, 134, 786,, 232,,,,,,,,,,,,,, 128, 288, 115,, 89,, 210,,,,,,, 287,, 65, 168,,,,,, 31, 17, 77, 518,
 U81, 23, 110, 28, 15, 48, 91, 22,,,,,,, 50,,,,,,,,,,,,,,,,, 16,,, 31,,,, 26, 35,,,,,,,,,,,,,,,,, 58, 31,,,,,,,,,,, 86,,, 156,,,,,, 5, 8, 27,,
 U84, 47,,, 78,,,,,,,,,,,,,,,,,,,,,,,,, 75,, 111,,,, 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 20, 35,,,
 U86, 42,,, 23,,, 73,,,,,,, 70,,,,,,,,,,,,,,, 113,, 32,,,, 38,,,,,,,,,,,,,,,,,,,, 166,,,,,,,,,,,,,,,,,,,,,, 14, 25,,,
 U87,,,, 24, 43,,,,,,,,,,,,,,,,,,,,,,,,,,, 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 23, 103,,,
 U88,,,, 52,,,,,,,,,,,,,,,,,,,,,,,,,,, 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 48,,,
 U89, 24, 39, 31, 27, 30, 48, 68, 233, 107,,,, 109, 42, 146, 503, 115,,, 227,,,,,,,,, 42, 85, 70, 80, 111, 59, 19, 123, 54, 46, 41, 146, 47,,,, 2402,, 68,,,,,,,, 178, 25, 27, 45, 135, 5035, 87,,, 129,, 123, 88, 109, 190, 48, 32, 156,,,,, 11, 12, 77, 27,
 U91,,,, 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 81,,,
 U92, 73,,, 90, 23,, 53,,,,,,,,,,,,,,,,,,,,,, 42,, 89,,,, 67,,,, 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22, 8, 64,,
 U93,,,, 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19, 15,,,
 U94,,,, 39,,,,,,,,,,,,,,,,,,,,,,,,, 45,, 118,,,, 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7, 14,,,
