 U110,78,7,80,26,174,52,377,740,125,40,168,122,854,,38,392,381,801,1669,31,160,38,540,913,,204,138,252,556,,91,,244,135,,,754,446,473,,601,,145,42,,,328,58,86,,318,495,238,,91,36,247,107,106,25,253,67,,410,361,44,138,238,218
 U111,178,12,29,20,131,64,1133,,125,262,216,525,,,70,739,,,,689,,146,689,,,,422,,,,,717,124,238,,,,126,2568,,770,,339,139,,,308,245,250,,508,,,,23,23,188,91,175,26,178,96,,358,473,,,,
 U113,87,12,32,22,,216,,,337,,462,,,,478,,,,,181,,58,333,,,,,,,,,178,,,,,,300,,,,,,186,,,,82,,,,,,,,,,,,,,,,,,,,,
 U116,118,49,40,60,,90,,100,75,91,221,85,,,258,,,,,189,,65,217,,,,281,,,,,,,,,,,83,,,159,,,,,,,65,288,,,,,,59,35,93,64,94,30,279,103,,,,119,84,361,414
 U122,,17,50,92,,41,,,,,,,,,168,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,63,,,,52,,,,,,,20,26,,118,,21,,49,,,,68,,,79
 U134,112,24,49,23,200,26,234,,87,61,324,195,,,77,,,,,68,451,133,169,1416,2734,,209,,,,,,,,,,,,,,81,,,80,,,,98,,,,,,,,,,,,,,,,,,,,,
 U135,77,23,32,15,122,42,71,48,89,141,41,,,201,141,,,,5970,471,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U137,66,10,28,37,141,41,150,275,176,162,105,1234,297,376,105,435,183,488,376,55,51,100,209,388,1078,484,248,385,230,213,582,57,689,33,292,728,238,49,371,212,23,201,432,50,269,257,234,34,66,2207,48,628,196,490,12,11,42,27,78,8,86,27,,,100,23,34,62,84
 U138,143,101,86,56,411,42,179,1403,242,288,80,168,,,86,335,,,847,237,,94,242,84,1606,839,,196,,,68,835,28,304,603,2535,,248,,,33,873,69,19,,,532,,91,2619,,,,1206,,,,,,,,,,,,,,,
 U139,120,31,35,149,142,52,125,40,,,76,,,,96,,,,,74,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U140,63,35,67,70,73,31,75,534,446,977,83,280,575,218,808,49,255,689,1153,114,132,34,548,314,2155,761,216,100,393,797,133,311,247,53,820,402,238,344,249,340,84,,70,23,1692,1108,104,36,54,1720,29,,391,548,15,16,49,34,97,15,95,24,,239,329,27,29,26,33
 U141,60,10,57,24,109,27,86,,56,66,76,,,,44,,,,,88,832,99,,748,,,,880,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,
 U145,61,37,73,74,79,103,130,,114,,226,,,,155,278,,,,476,159,86,,,,,,194,,,,81,,234,,,,,,,64,,,452,,,,206,443,,74,,,,23,95,,253,,23,,,,,,,,,
 U151,454,9,132,22,285,129,127,,389,321,64,,,,303,289,,,,267,,41,,,,,,,,,,219,,94,,,,889,,,48,,221,36,,,,27,,,,,,,,,,,,,,,,,,,,,
 U153,33,15,36,70,90,21,93,71,82,107,101,,,,93,85,,209,,130,,174,92,,,,224,,,,,284,113,178,,,,55,,,157,,135,56,,,269,778,128,,505,82,145,,,,,,,,,,,,,,,,
 U155,66,14,44,68,,45,,,,,,,,,332,,,,,83,,37,,,,,,,,,,,,,,,,81,,,,,,,,,,42,,,,,,,24,40,,,,78,,,,,,,,,
